schema_version,seed,source,target,compromise_type,compromise_fraction,compromised_node_count,total_node_count,edge_count,route_count,fractal_id,anomaly_detected,memory_rewrite,purge_triggered,reset_epoch_pre,reset_epoch_post,pre_alarm_path_count,post_candidate_count,random_multipath_reset:post_reset_path_distance_from_pre_alarm,random_multipath_reset:state_break_distance,random_multipath_reset:state_continuity_score,random_multipath_reset:lane_collapse_rate,random_multipath_reset:path_overlap,random_multipath_reset:unique_path_ratio,random_multipath_reset:clean_path_ratio,random_multipath_reset:path_compromise_rate,random_multipath_reset:mean_compromised_nodes_per_path,state_aware_reset:post_reset_path_distance_from_pre_alarm,state_aware_reset:state_break_distance,state_aware_reset:state_continuity_score,state_aware_reset:lane_collapse_rate,state_aware_reset:path_overlap,state_aware_reset:unique_path_ratio,state_aware_reset:clean_path_ratio,state_aware_reset:path_compromise_rate,state_aware_reset:mean_compromised_nodes_per_path,lemonade_reset:post_reset_path_distance_from_pre_alarm,lemonade_reset:state_break_distance,lemonade_reset:state_continuity_score,lemonade_reset:lane_collapse_rate,lemonade_reset:path_overlap,lemonade_reset:unique_path_ratio,lemonade_reset:clean_path_ratio,lemonade_reset:path_compromise_rate,lemonade_reset:mean_compromised_nodes_per_path,delta_lemonade_vs_state_aware:path_break,delta_lemonade_vs_random:path_break
1.0.0,pilot-010,n17,n39,random,0.2,20,100,245,3,36,True,True,True,0,1,3,12,0.9136639280125195,0.5026041666666666,0.49739583333333337,0.0,0.16428571428571428,1.0,0.0,1.0,7.333333333333333,0.59375,0.5,0.5,0.0,0.08333333333333333,1.0,0.0,1.0,3.0,0.9212543991955756,0.5104166666666666,0.48958333333333337,0.0,0.06060606060606061,1.0,0.0,1.0,3.0,0.3275043991955756,0.007590471183056113
1.0.0,pilot-011,n4,n71,random,0.2,20,100,243,3,36,True,True,True,0,1,3,12,0.5416666666666666,0.46875,0.53125,0.0,0.49206349206349204,1.0,0.0,1.0,3.3333333333333335,0.6368663594470046,0.4895833333333333,0.5104166666666667,0.0,0.0,1.0,0.0,1.0,3.0,0.9516811742618194,0.4895833333333333,0.5104166666666667,0.0,0.03333333333333333,1.0,0.0,1.0,4.666666666666667,0.31481481481481477,0.4100145075951528
1.0.0,pilot-012,n91,n54,random,0.2,20,100,262,3,36,True,True,True,0,1,1,1,0.0,0.5234375,0.4765625,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.53125,0.46875,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.484375,0.515625,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
1.0.0,pilot-013,n93,n11,random,0.2,20,100,244,3,36,True,True,True,0,1,3,12,0.9096049614342298,0.4700520833333333,0.5299479166666667,0.0,0.047619047619047616,1.0,0.0,1.0,2.6666666666666665,0.6080945198592258,0.5481770833333334,0.45182291666666663,0.0,0.0,1.0,0.0,1.0,3.6666666666666665,0.9699381078691424,0.4908854166666667,0.5091145833333333,0.0,0.0,1.0,0.0,1.0,3.0,0.36184358800991656,0.06033314643491261
1.0.0,pilot-014,n32,n58,random,0.2,20,100,288,3,36,True,True,True,0,1,3,12,0.5951612903225807,0.5182291666666666,0.48177083333333337,0.0,0.39999999999999997,1.0,0.3333333333333333,0.6666666666666666,2.6666666666666665,0.5647058823529413,0.4817708333333333,0.5182291666666667,0.0,0.25555555555555554,1.0,0.3333333333333333,0.6666666666666666,2.6666666666666665,0.913572143035759,0.5377604166666666,0.46223958333333337,0.0,0.21999999999999997,1.0,0.0,1.0,4.0,0.3488662606828177,0.31841085271317826
1.0.0,pilot-015,n68,n14,random,0.2,20,100,242,3,36,True,True,True,0,1,3,12,0.8977011494252873,0.4947916666666667,0.5052083333333333,0.0,0.07037037037037037,1.0,0.0,1.0,2.3333333333333335,0.6428571428571429,0.5065104166666666,0.49348958333333337,0.0,0.0,1.0,0.6666666666666666,0.3333333333333333,1.3333333333333333,0.9507936507936509,0.52734375,0.47265625,0.0,0.06666666666666667,1.0,0.3333333333333333,0.6666666666666666,2.0,0.30793650793650795,0.05309250136836352
1.0.0,pilot-016,n12,n65,random,0.2,20,100,244,3,36,True,True,True,0,1,3,12,0.597872340425532,0.5286458333333334,0.47135416666666663,0.0,0.12345679012345678,1.0,0.3333333333333333,0.6666666666666666,5.0,0.6166666666666667,0.4817708333333333,0.5182291666666667,0.0,0.12444444444444443,1.0,0.3333333333333333,0.6666666666666666,5.0,0.9325670498084291,0.4986979166666667,0.5013020833333333,0.0,0.18814814814814815,1.0,0.0,1.0,4.666666666666667,0.3159003831417624,0.33469470938289714
1.0.0,pilot-017,n88,n25,random,0.2,20,100,252,3,36,True,True,True,0,1,3,12,0.8863970588235294,0.5208333333333334,0.47916666666666663,0.0,0.20119047619047617,1.0,0.0,1.0,7.333333333333333,0.6143920595533499,0.4869791666666667,0.5130208333333333,0.0,0.20000000000000004,1.0,0.0,1.0,3.6666666666666665,0.9056132677237105,0.4635416666666667,0.5364583333333333,0.0,0.0896551724137931,1.0,0.0,1.0,6.333333333333333,0.2912212081703607,0.019216208900181164
1.0.0,pilot-018,n54,n14,random,0.2,20,100,225,3,36,True,True,True,0,1,3,12,0.7788576300085251,0.4778645833333333,0.5221354166666667,0.0,0.16666666666666666,1.0,0.0,1.0,3.3333333333333335,0.5633986928104575,0.5065104166666666,0.49348958333333337,0.0,0.0,1.0,0.0,1.0,3.0,0.9212269756387403,0.4778645833333333,0.5221354166666667,0.0,0.06204906204906205,1.0,0.0,1.0,4.0,0.35782828282828283,0.1423693456302152
1.0.0,pilot-019,n22,n90,random,0.2,20,100,252,3,36,True,True,True,0,1,3,12,0.9382081686429512,0.4856770833333333,0.5143229166666667,0.0,0.037037037037037035,1.0,0.0,1.0,4.0,0.5987292277614858,0.4934895833333333,0.5065104166666667,0.0,0.015873015873015872,1.0,0.3333333333333333,0.6666666666666666,5.333333333333333,0.9448103607770584,0.5078125,0.4921875,0.0,0.0,1.0,0.0,1.0,2.3333333333333335,0.34608113301557253,0.0066021921341071765
1.0.0,pilot-020,n53,n15,random,0.2,20,100,238,3,36,True,True,True,0,1,3,12,0.9233362174634077,0.5078125,0.4921875,0.0,0.14444444444444446,1.0,0.0,1.0,6.0,0.6061020036429873,0.4947916666666667,0.5052083333333333,0.0,0.2908496732026144,1.0,0.0,1.0,6.0,0.9315061521039305,0.5182291666666666,0.48177083333333337,0.0,0.1111111111111111,1.0,0.0,1.0,3.6666666666666665,0.32540414846094323,0.008169934640522847
1.0.0,pilot-021,n74,n6,random,0.2,20,100,238,3,36,True,True,True,0,1,3,12,0.899122807017544,0.4986979166666667,0.5013020833333333,0.0,0.11666666666666665,1.0,0.0,1.0,3.0,0.6188197767145135,0.4947916666666667,0.5052083333333333,0.0,0.0,1.0,0.0,1.0,2.0,0.9012595591542961,0.5091145833333334,0.49088541666666663,0.0,0.0,1.0,0.0,1.0,2.6666666666666665,0.2824397824397826,0.002136752136752129
1.0.0,pilot-022,n32,n44,random,0.2,20,100,271,3,36,True,True,True,0,1,3,12,0.9034562211981566,0.5065104166666666,0.49348958333333337,0.0,0.13333333333333333,1.0,0.0,1.0,1.6666666666666667,0.6385057471264367,0.4817708333333333,0.5182291666666667,0.0,0.1111111111111111,1.0,0.3333333333333333,0.6666666666666666,1.6666666666666667,0.9718390804597701,0.5221354166666666,0.47786458333333337,0.0,0.06666666666666667,1.0,0.0,1.0,2.0,0.33333333333333337,0.06838285926161347
1.0.0,pilot-023,n38,n70,random,0.2,20,100,262,3,36,True,True,True,0,1,3,12,0.5979924468296561,0.4674479166666667,0.5325520833333333,0.0,0.5166666666666667,1.0,0.0,1.0,8.0,0.5937413840639647,0.5182291666666666,0.48177083333333337,0.0,0.4266666666666667,1.0,0.0,1.0,5.666666666666667,0.8795409636722907,0.4908854166666667,0.5091145833333333,0.0,0.16666666666666666,1.0,0.0,1.0,5.333333333333333,0.285799579608326,0.2815485168426346
1.0.0,pilot-024,n40,n90,random,0.2,20,100,252,3,36,True,True,True,0,1,3,12,0.914620292561469,0.45703125,0.54296875,0.0,0.14814814814814814,1.0,0.0,1.0,9.0,0.6344018437041693,0.5377604166666666,0.46223958333333337,0.0,0.2111111111111111,1.0,0.0,1.0,3.3333333333333335,0.942049192049192,0.4856770833333333,0.5143229166666667,0.0,0.09001782531194297,1.0,0.0,1.0,6.0,0.3076473483450227,0.02742889948772298
1.0.0,pilot-025,n40,n63,random,0.2,20,100,242,3,36,True,True,True,0,1,3,12,0.8860606060606061,0.48828125,0.51171875,0.0,0.07407407407407407,1.0,0.0,1.0,2.0,0.6160510715914272,0.5182291666666666,0.48177083333333337,0.0,0.018518518518518517,1.0,0.3333333333333333,0.6666666666666666,3.6666666666666665,0.8927272727272727,0.484375,0.515625,0.0,0.0,1.0,0.3333333333333333,0.6666666666666666,2.0,0.27667620113584546,0.006666666666666599
1.0.0,pilot-026,n8,n34,random,0.2,20,100,240,3,36,True,True,True,0,1,3,12,0.9429510155316607,0.48828125,0.51171875,0.0,0.08333333333333333,1.0,0.0,1.0,5.0,0.6395833333333333,0.5169270833333334,0.48307291666666663,0.0,0.0,1.0,0.3333333333333333,0.6666666666666666,2.6666666666666665,1.0,0.5104166666666666,0.48958333333333337,0.0,0.0,1.0,0.3333333333333333,0.6666666666666666,2.0,0.3604166666666667,0.05704898446833928
1.0.0,pilot-027,n1,n95,random,0.2,20,100,232,3,36,True,True,True,0,1,3,12,0.9120857699805068,0.5247395833333334,0.47526041666666663,0.0,0.1286549707602339,1.0,0.0,1.0,4.666666666666667,0.603030303030303,0.52734375,0.47265625,0.0,0.0,1.0,0.0,1.0,3.0,0.9491228070175439,0.4635416666666667,0.5364583333333333,0.0,0.022222222222222223,1.0,0.0,1.0,3.6666666666666665,0.3460925039872409,0.03703703703703709
1.0.0,pilot-028,n26,n54,random,0.2,20,100,233,3,36,True,True,True,0,1,3,12,0.9017156862745098,0.5013020833333334,0.49869791666666663,0.0,0.2920847268673356,1.0,0.0,1.0,6.333333333333333,0.6103448275862069,0.5013020833333334,0.49869791666666663,0.0,0.19565217391304346,1.0,0.0,1.0,4.666666666666667,0.9228174603174603,0.5052083333333334,0.49479166666666663,0.0,0.047619047619047616,1.0,0.0,1.0,3.6666666666666665,0.31247263273125336,0.02110177404295044
1.0.0,pilot-029,n20,n69,random,0.2,20,100,224,3,36,True,True,True,0,1,3,12,0.884307992202729,0.5234375,0.4765625,0.0,0.2261904761904762,1.0,0.0,1.0,3.6666666666666665,0.5960170697012802,0.5065104166666666,0.49348958333333337,0.0,0.14814814814814814,1.0,0.3333333333333333,0.6666666666666666,2.3333333333333335,0.9038275563699293,0.5026041666666666,0.49739583333333337,0.0,0.1923076923076923,1.0,0.3333333333333333,0.6666666666666666,2.6666666666666665,0.3078104866686491,0.019519564167200243
