schema_version,experiment,seed,condition,compromise_fraction,required_fragments,emitted_fragments,recovery_fragments,redundancy_factor,bandwidth_overhead,magnet_strength,wandering_strength,hop_budget,custody_rounds,message_reconstructed,effective_reconstruction_ratio,reconstruction_margin,delivered_total,primary_delivered,recovery_delivered,clean_reconstruction,delivered_compromised_fragments,mean_hop_count,mean_transport_delivery_ratio,loop_rate,dead_end_rate,mean_compromised_relays_per_fragment,reticulum_graph_visible,voxmesh_knows_reticulum_identity,reticulum_knows_whisper_payload,network_profile,network_risk,adaptive_redundancy_factor,adaptive_custody_rounds,adaptive_repair_budget_factor,receive_mode
1.3.2,redundancy-compensated-pressure-routing,adaptive-023:good,random,0.2,100,127,27,1.2627945252714432,1.27,6.0,0.5,12,5,True,1.0,7,107,85,22,False,83,4.952755905511811,0.6743651361761598,0.007874015748031496,0.023622047244094488,1.4566929133858268,False,False,False,good,0.08529683514295539,1.2627945252714432,5,0.06279452527144332,BUFFERED
1.3.2,redundancy-compensated-pressure-routing,adaptive-023:normal,random,0.2,100,131,31,1.3034378371863888,1.31,6.0,0.5,12,6,True,1.0,18,118,90,28,False,80,5.4961832061068705,0.7276271438485179,0.007633587786259542,0.007633587786259542,1.2595419847328244,False,False,False,normal,0.3562522479092591,1.3034378371863888,6,0.10343783718638888,BUFFERED
1.3.2,redundancy-compensated-pressure-routing,adaptive-023:bad,random,0.2,100,136,36,1.3508582538758016,1.36,6.0,0.5,12,6,True,1.0,7,107,72,35,False,79,4.6911764705882355,0.6297873694932519,0.0661764705882353,0.029411764705882353,1.0294117647058822,False,False,False,bad,0.6723883591720109,1.3508582538758016,6,0.15085825387580165,STREAMING
1.3.2,redundancy-compensated-pressure-routing,adaptive-023:very_bad,random,0.2,100,139,39,1.3818780714619794,1.39,6.0,0.5,12,7,True,1.0,20,120,86,34,False,87,5.057553956834532,0.6865102723016392,0.02877697841726619,0.007194244604316547,1.4172661870503598,False,False,False,very_bad,0.8791871430798638,1.3818780714619794,7,0.1818780714619796,STREAMING
1.3.2,redundancy-compensated-pressure-routing,adaptive-023:good,targeted,0.2,100,127,27,1.2627945252714432,1.27,6.0,0.5,12,5,True,1.0,7,107,85,22,False,89,4.952755905511811,0.6743651361761598,0.007874015748031496,0.023622047244094488,1.9606299212598426,False,False,False,good,0.08529683514295539,1.2627945252714432,5,0.06279452527144332,BUFFERED
1.3.2,redundancy-compensated-pressure-routing,adaptive-023:normal,targeted,0.2,100,131,31,1.3034378371863888,1.31,6.0,0.5,12,6,True,1.0,18,118,90,28,False,106,5.4961832061068705,0.7276271438485179,0.007633587786259542,0.007633587786259542,2.4732824427480917,False,False,False,normal,0.3562522479092591,1.3034378371863888,6,0.10343783718638888,BUFFERED
1.3.2,redundancy-compensated-pressure-routing,adaptive-023:bad,targeted,0.2,100,136,36,1.3508582538758016,1.36,6.0,0.5,12,6,True,1.0,7,107,72,35,False,91,4.6911764705882355,0.6297873694932519,0.0661764705882353,0.029411764705882353,1.9411764705882353,False,False,False,bad,0.6723883591720109,1.3508582538758016,6,0.15085825387580165,STREAMING
1.3.2,redundancy-compensated-pressure-routing,adaptive-023:very_bad,targeted,0.2,100,139,39,1.3818780714619794,1.39,6.0,0.5,12,7,True,1.0,20,120,86,34,False,98,5.057553956834532,0.6865102723016392,0.02877697841726619,0.007194244604316547,2.2805755395683454,False,False,False,very_bad,0.8791871430798638,1.3818780714619794,7,0.1818780714619796,STREAMING
1.3.2,redundancy-compensated-pressure-routing,adaptive-023:good,behavioral,0.2,100,127,27,1.2627945252714432,1.27,6.0,0.5,12,5,True,1.0,4,104,81,23,True,0,4.913385826771654,0.6613849405187988,0.007874015748031496,0.023622047244094488,0.0,False,False,False,good,0.08529683514295539,1.2627945252714432,5,0.06279452527144332,BUFFERED
1.3.2,redundancy-compensated-pressure-routing,adaptive-023:normal,behavioral,0.2,100,131,31,1.3034378371863888,1.31,6.0,0.5,12,6,True,1.0,12,112,86,26,True,0,5.015267175572519,0.6804905654142295,0.08396946564885496,0.022900763358778626,0.0,False,False,False,normal,0.3562522479092591,1.3034378371863888,6,0.10343783718638888,BUFFERED
1.3.2,redundancy-compensated-pressure-routing,adaptive-023:bad,behavioral,0.2,100,136,36,1.3508582538758016,1.36,6.0,0.5,12,6,True,1.0,6,106,72,34,True,0,4.727941176470588,0.6231668046006281,0.0661764705882353,0.03676470588235294,0.0,False,False,False,bad,0.6723883591720109,1.3508582538758016,6,0.15085825387580165,STREAMING
1.3.2,redundancy-compensated-pressure-routing,adaptive-023:very_bad,behavioral,0.2,100,139,39,1.3818780714619794,1.39,6.0,0.5,12,7,True,1.0,20,120,87,33,True,0,4.9784172661870505,0.6820966603340705,0.04316546762589928,0.014388489208633094,0.0,False,False,False,very_bad,0.8791871430798638,1.3818780714619794,7,0.1818780714619796,STREAMING
1.3.2,redundancy-compensated-pressure-routing,adaptive-024:good,random,0.2,100,127,27,1.2648677187052189,1.27,6.0,0.5,12,5,True,1.0,1,101,81,20,False,72,4.05511811023622,0.6118289191123837,0.023622047244094488,0.0,1.047244094488189,False,False,False,good,0.09911812470145945,1.2648677187052189,5,0.06486771870521893,BUFFERED
1.3.2,redundancy-compensated-pressure-routing,adaptive-024:normal,random,0.2,100,131,31,1.3079087687260142,1.31,6.0,0.5,12,6,True,1.0,9,109,85,24,False,82,4.694656488549619,0.6542915523831554,0.015267175572519083,0.030534351145038167,1.1374045801526718,False,False,False,normal,0.38605845817342826,1.3079087687260142,6,0.10790876872601425,BUFFERED
1.3.2,redundancy-compensated-pressure-routing,adaptive-024:bad,random,0.2,100,136,36,1.3508846935664733,1.36,6.0,0.5,12,6,True,1.0,13,113,81,32,False,80,4.889705882352941,0.6540812537136067,0.0,0.0,1.0220588235294117,False,False,False,bad,0.6725646237764892,1.3508846935664733,6,0.15088469356647338,STREAMING
1.3.2,redundancy-compensated-pressure-routing,adaptive-024:very_bad,random,0.2,100,139,39,1.3898999608418612,1.39,6.0,0.5,12,7,True,1.0,22,122,86,36,False,85,5.410071942446043,0.7145353846792696,0.04316546762589928,0.0,1.0935251798561152,False,False,False,very_bad,0.9326664056124088,1.3898999608418612,7,0.18989996084186134,STREAMING
1.3.2,redundancy-compensated-pressure-routing,adaptive-024:good,targeted,0.2,100,127,27,1.2648677187052189,1.27,6.0,0.5,12,5,True,1.0,1,101,81,20,False,83,4.05511811023622,0.6118289191123837,0.023622047244094488,0.0,1.8661417322834646,False,False,False,good,0.09911812470145945,1.2648677187052189,5,0.06486771870521893,BUFFERED
1.3.2,redundancy-compensated-pressure-routing,adaptive-024:normal,targeted,0.2,100,131,31,1.3079087687260142,1.31,6.0,0.5,12,6,True,1.0,9,109,85,24,False,93,4.694656488549619,0.6542915523831554,0.015267175572519083,0.030534351145038167,1.9389312977099236,False,False,False,normal,0.38605845817342826,1.3079087687260142,6,0.10790876872601425,BUFFERED
1.3.2,redundancy-compensated-pressure-routing,adaptive-024:bad,targeted,0.2,100,136,36,1.3508846935664733,1.36,6.0,0.5,12,6,True,1.0,13,113,81,32,False,89,4.889705882352941,0.6540812537136067,0.0,0.0,2.0073529411764706,False,False,False,bad,0.6725646237764892,1.3508846935664733,6,0.15088469356647338,STREAMING
1.3.2,redundancy-compensated-pressure-routing,adaptive-024:very_bad,targeted,0.2,100,139,39,1.3898999608418612,1.39,6.0,0.5,12,7,True,1.0,22,122,86,36,False,99,5.410071942446043,0.7145353846792696,0.04316546762589928,0.0,2.028776978417266,False,False,False,very_bad,0.9326664056124088,1.3898999608418612,7,0.18989996084186134,STREAMING
1.3.2,redundancy-compensated-pressure-routing,adaptive-024:good,behavioral,0.2,100,127,27,1.2648677187052189,1.27,6.0,0.5,12,5,True,1.0,3,103,82,21,True,0,3.7007874015748032,0.6051016350228948,0.05511811023622047,0.0,0.0,False,False,False,good,0.09911812470145945,1.2648677187052189,5,0.06486771870521893,BUFFERED
1.3.2,redundancy-compensated-pressure-routing,adaptive-024:normal,behavioral,0.2,100,131,31,1.3079087687260142,1.31,6.0,0.5,12,6,True,1.0,16,116,89,27,True,0,5.213740458015267,0.706929986891819,0.022900763358778626,0.030534351145038167,0.0,False,False,False,normal,0.38605845817342826,1.3079087687260142,6,0.10790876872601425,BUFFERED
1.3.2,redundancy-compensated-pressure-routing,adaptive-024:bad,behavioral,0.2,100,136,36,1.3508846935664733,1.36,6.0,0.5,12,6,True,1.0,13,113,80,33,True,0,4.764705882352941,0.6547483766233766,0.058823529411764705,0.0,0.0,False,False,False,bad,0.6725646237764892,1.3508846935664733,6,0.15088469356647338,STREAMING
1.3.2,redundancy-compensated-pressure-routing,adaptive-024:very_bad,behavioral,0.2,100,139,39,1.3898999608418612,1.39,6.0,0.5,12,7,True,1.0,20,120,86,34,True,0,5.302158273381295,0.693624321322163,0.04316546762589928,0.0,0.0,False,False,False,very_bad,0.9326664056124088,1.3898999608418612,7,0.18989996084186134,STREAMING
1.3.2,redundancy-compensated-pressure-routing,adaptive-025:good,random,0.2,100,127,27,1.2679941543564943,1.27,6.0,0.5,12,5,True,1.0,5,105,83,22,False,66,4.4015748031496065,0.6578856620195203,0.031496062992125984,0.007874015748031496,0.7952755905511811,False,False,False,good,0.11996102904329567,1.2679941543564943,5,0.06799415435649436,BUFFERED
1.3.2,redundancy-compensated-pressure-routing,adaptive-025:normal,random,0.2,100,130,30,1.297824053331406,1.3,6.0,0.5,12,6,True,1.0,12,112,88,24,False,88,5.6923076923076925,0.7016369741369741,0.007692307692307693,0.0,1.4153846153846155,False,False,False,normal,0.318827022209374,1.297824053331406,6,0.0978240533314061,BUFFERED
1.3.2,redundancy-compensated-pressure-routing,adaptive-025:bad,random,0.2,100,135,35,1.3409361868978853,1.35,6.0,0.5,12,6,True,1.0,5,105,79,26,False,77,4.311111111111111,0.6254438565549677,0.022222222222222223,0.014814814814814815,1.1481481481481481,False,False,False,bad,0.6062412459859022,1.3409361868978853,6,0.14093618689788534,BUFFERED
1.3.2,redundancy-compensated-pressure-routing,adaptive-025:very_bad,random,0.2,100,139,39,1.386328958350805,1.39,6.0,0.5,12,7,True,1.0,16,116,85,31,False,73,4.928057553956834,0.6712619514777788,0.02158273381294964,0.0,1.0,False,False,False,very_bad,0.9088597223387005,1.386328958350805,7,0.1863289583508051,STREAMING
1.3.2,redundancy-compensated-pressure-routing,adaptive-025:good,targeted,0.2,100,127,27,1.2679941543564943,1.27,6.0,0.5,12,5,True,1.0,5,105,83,22,False,86,4.4015748031496065,0.6578856620195203,0.031496062992125984,0.007874015748031496,1.7480314960629921,False,False,False,good,0.11996102904329567,1.2679941543564943,5,0.06799415435649436,BUFFERED
1.3.2,redundancy-compensated-pressure-routing,adaptive-025:normal,targeted,0.2,100,130,30,1.297824053331406,1.3,6.0,0.5,12,6,True,1.0,12,112,88,24,False,92,5.6923076923076925,0.7016369741369741,0.007692307692307693,0.0,2.1153846153846154,False,False,False,normal,0.318827022209374,1.297824053331406,6,0.0978240533314061,BUFFERED
1.3.2,redundancy-compensated-pressure-routing,adaptive-025:bad,targeted,0.2,100,135,35,1.3409361868978853,1.35,6.0,0.5,12,6,True,1.0,5,105,79,26,False,85,4.311111111111111,0.6254438565549677,0.022222222222222223,0.014814814814814815,1.8222222222222222,False,False,False,bad,0.6062412459859022,1.3409361868978853,6,0.14093618689788534,BUFFERED
1.3.2,redundancy-compensated-pressure-routing,adaptive-025:very_bad,targeted,0.2,100,139,39,1.386328958350805,1.39,6.0,0.5,12,7,True,1.0,16,116,85,31,False,100,4.928057553956834,0.6712619514777788,0.02158273381294964,0.0,1.9928057553956835,False,False,False,very_bad,0.9088597223387005,1.386328958350805,7,0.1863289583508051,STREAMING
1.3.2,redundancy-compensated-pressure-routing,adaptive-025:good,behavioral,0.2,100,127,27,1.2679941543564943,1.27,6.0,0.5,12,5,True,1.0,4,104,81,23,True,0,4.700787401574803,0.6492736703366625,0.06299212598425197,0.023622047244094488,0.0,False,False,False,good,0.11996102904329567,1.2679941543564943,5,0.06799415435649436,BUFFERED
1.3.2,redundancy-compensated-pressure-routing,adaptive-025:normal,behavioral,0.2,100,130,30,1.297824053331406,1.3,6.0,0.5,12,6,True,1.0,15,115,92,23,True,0,5.123076923076923,0.6902281052281052,0.038461538461538464,0.0,0.0,False,False,False,normal,0.318827022209374,1.297824053331406,6,0.0978240533314061,BUFFERED
1.3.2,redundancy-compensated-pressure-routing,adaptive-025:bad,behavioral,0.2,100,135,35,1.3409361868978853,1.35,6.0,0.5,12,6,True,1.0,10,110,81,29,True,0,4.651851851851852,0.6613601624712736,0.02962962962962963,0.037037037037037035,0.0,False,False,False,bad,0.6062412459859022,1.3409361868978853,6,0.14093618689788534,BUFFERED
1.3.2,redundancy-compensated-pressure-routing,adaptive-025:very_bad,behavioral,0.2,100,139,39,1.386328958350805,1.39,6.0,0.5,12,7,True,1.0,23,123,89,34,True,0,5.503597122302159,0.7172402337869964,0.1223021582733813,0.0,0.0,False,False,False,very_bad,0.9088597223387005,1.386328958350805,7,0.1863289583508051,STREAMING
1.3.2,redundancy-compensated-pressure-routing,adaptive-026:good,random,0.2,100,127,27,1.2606435795061393,1.27,6.0,0.5,12,5,True,1.0,12,112,89,23,False,86,5.322834645669292,0.7074016316142301,0.03937007874015748,0.007874015748031496,1.4251968503937007,False,False,False,good,0.07095719670759448,1.2606435795061393,5,0.060643579506139175,BUFFERED
1.3.2,redundancy-compensated-pressure-routing,adaptive-026:normal,random,0.2,100,131,31,1.3014464315662675,1.31,6.0,0.5,12,6,True,1.0,16,116,87,29,False,89,5.1603053435114505,0.70365404315786,0.007633587786259542,0.007633587786259542,1.381679389312977,False,False,False,normal,0.342976210441784,1.3014464315662675,6,0.10144643156626762,BUFFERED
1.3.2,redundancy-compensated-pressure-routing,adaptive-026:bad,random,0.2,100,135,35,1.3444543438912844,1.35,6.0,0.5,12,6,True,1.0,16,116,89,27,False,89,5.311111111111111,0.7039842873176206,0.037037037037037035,0.0,1.2148148148148148,False,False,False,bad,0.6296956259418968,1.3444543438912844,6,0.14445434389128453,STREAMING
1.3.2,redundancy-compensated-pressure-routing,adaptive-026:very_bad,random,0.2,100,139,39,1.3886287237214805,1.39,6.0,0.5,12,7,True,1.0,24,124,89,35,False,83,5.683453237410072,0.7267113581861784,0.06474820143884892,0.02158273381294964,1.3525179856115108,False,False,False,very_bad,0.9241914914765375,1.3886287237214805,7,0.18862872372148065,STREAMING
1.3.2,redundancy-compensated-pressure-routing,adaptive-026:good,targeted,0.2,100,127,27,1.2606435795061393,1.27,6.0,0.5,12,5,True,1.0,12,112,89,23,False,101,5.322834645669292,0.7074016316142301,0.03937007874015748,0.007874015748031496,2.15748031496063,False,False,False,good,0.07095719670759448,1.2606435795061393,5,0.060643579506139175,BUFFERED
