schema_version,experiment,seed,condition,compromise_fraction,required_fragments,emitted_fragments,recovery_fragments,redundancy_factor,bandwidth_overhead,magnet_strength,wandering_strength,hop_budget,custody_rounds,message_reconstructed,effective_reconstruction_ratio,reconstruction_margin,delivered_total,primary_delivered,recovery_delivered,clean_reconstruction,delivered_compromised_fragments,mean_hop_count,mean_transport_delivery_ratio,loop_rate,dead_end_rate,mean_compromised_relays_per_fragment,reticulum_graph_visible,voxmesh_knows_reticulum_identity,reticulum_knows_whisper_payload
1.3.2,redundancy-compensated-pressure-routing,run-002,targeted,0.2,100,125,25,1.25,1.25,6.0,0.5,12,3,False,0.98,-2,98,74,24,False,85,4.824,0.6456594516594517,0.032,0.0,1.864,False,False,False
1.3.2,redundancy-compensated-pressure-routing,run-002,behavioral,0.2,100,100,0,1.0,1.0,6.0,0.5,12,3,False,0.76,-24,76,76,0,False,0,4.37,0.617450937950938,0.06,0.0,0.0,False,False,False
1.3.2,redundancy-compensated-pressure-routing,run-002,behavioral,0.2,100,105,5,1.05,1.05,6.0,0.5,12,3,False,0.8,-20,80,76,4,False,0,4.3428571428571425,0.617413591699306,0.05714285714285714,0.0,0.0,False,False,False
1.3.2,redundancy-compensated-pressure-routing,run-002,behavioral,0.2,100,111,11,1.1,1.11,6.0,0.5,12,3,False,0.86,-14,86,76,10,False,0,4.441441441441442,0.6274976274976275,0.06306306306306306,0.0,0.0,False,False,False
1.3.2,redundancy-compensated-pressure-routing,run-002,behavioral,0.2,100,115,15,1.15,1.15,6.0,0.5,12,3,False,0.9,-10,90,76,14,False,0,4.51304347826087,0.6355888073279378,0.06086956521739131,0.0,0.0,False,False,False
1.3.2,redundancy-compensated-pressure-routing,run-002,behavioral,0.2,100,125,25,1.25,1.25,6.0,0.5,12,3,False,0.98,-2,98,76,22,False,0,4.496,0.6346655122655123,0.056,0.0,0.0,False,False,False
1.3.2,redundancy-compensated-pressure-routing,run-003,random,0.2,100,100,0,1.0,1.0,6.0,0.5,12,3,False,0.84,-16,84,84,0,False,58,4.69,0.6830988455988456,0.02,0.0,1.17,False,False,False
1.3.2,redundancy-compensated-pressure-routing,run-003,random,0.2,100,105,5,1.05,1.05,6.0,0.5,12,3,False,0.88,-12,88,84,4,False,60,4.666666666666667,0.6795121280835567,0.01904761904761905,0.0,1.1428571428571428,False,False,False
1.3.2,redundancy-compensated-pressure-routing,run-003,random,0.2,100,111,11,1.1,1.11,6.0,0.5,12,3,False,0.93,-7,93,84,9,False,64,4.621621621621622,0.679017979017979,0.018018018018018018,0.0,1.1441441441441442,False,False,False
1.3.2,redundancy-compensated-pressure-routing,run-003,random,0.2,100,115,15,1.15,1.15,6.0,0.5,12,3,False,0.97,-3,97,84,13,False,68,4.678260869565217,0.6828533785055524,0.017391304347826087,0.0,1.1652173913043478,False,False,False
1.3.2,redundancy-compensated-pressure-routing,run-003,random,0.2,100,125,25,1.25,1.25,6.0,0.5,12,3,True,1.0,6,106,84,22,False,71,4.528,0.6774155844155844,0.016,0.0,1.104,False,False,False
1.3.2,redundancy-compensated-pressure-routing,run-003,targeted,0.2,100,100,0,1.0,1.0,6.0,0.5,12,3,False,0.84,-16,84,84,0,False,68,4.69,0.6830988455988456,0.02,0.0,1.87,False,False,False
1.3.2,redundancy-compensated-pressure-routing,run-003,targeted,0.2,100,105,5,1.05,1.05,6.0,0.5,12,3,False,0.88,-12,88,84,4,False,71,4.666666666666667,0.6795121280835567,0.01904761904761905,0.0,1.9142857142857144,False,False,False
1.3.2,redundancy-compensated-pressure-routing,run-003,targeted,0.2,100,111,11,1.1,1.11,6.0,0.5,12,3,False,0.93,-7,93,84,9,False,76,4.621621621621622,0.679017979017979,0.018018018018018018,0.0,1.9189189189189189,False,False,False
1.3.2,redundancy-compensated-pressure-routing,run-003,targeted,0.2,100,115,15,1.15,1.15,6.0,0.5,12,3,False,0.97,-3,97,84,13,False,79,4.678260869565217,0.6828533785055524,0.017391304347826087,0.0,1.982608695652174,False,False,False
1.3.2,redundancy-compensated-pressure-routing,run-003,targeted,0.2,100,125,25,1.25,1.25,6.0,0.5,12,3,True,1.0,6,106,84,22,False,87,4.528,0.6774155844155844,0.016,0.0,1.928,False,False,False
1.3.2,redundancy-compensated-pressure-routing,run-003,behavioral,0.2,100,100,0,1.0,1.0,6.0,0.5,12,3,False,0.85,-15,85,85,0,False,0,4.98,0.7011839826839826,0.02,0.0,0.0,False,False,False
1.3.2,redundancy-compensated-pressure-routing,run-003,behavioral,0.2,100,105,5,1.05,1.05,6.0,0.5,12,3,False,0.89,-11,89,85,4,False,0,4.942857142857143,0.6972916237201952,0.02857142857142857,0.0,0.0,False,False,False
1.3.2,redundancy-compensated-pressure-routing,run-003,behavioral,0.2,100,111,11,1.1,1.11,6.0,0.5,12,3,False,0.94,-6,94,85,9,False,0,5.054054054054054,0.6996151996151996,0.02702702702702703,0.0,0.0,False,False,False
1.3.2,redundancy-compensated-pressure-routing,run-003,behavioral,0.2,100,115,15,1.15,1.15,6.0,0.5,12,3,False,0.98,-2,98,85,13,False,0,5.139130434782609,0.7042662651358303,0.02608695652173913,0.0,0.0,False,False,False
1.3.2,redundancy-compensated-pressure-routing,run-003,behavioral,0.2,100,125,25,1.25,1.25,6.0,0.5,12,3,True,1.0,6,106,85,21,True,0,5.048,0.6965119769119769,0.032,0.0,0.0,False,False,False
