schema_version,experiment,seed,source,target,condition_type,compromise_fraction,compromised_node_count,total_node_count,edge_count,route_count,fractal_id,pre_reset_epochs,pre_alarm_path_count,post_candidate_count,policy,path_count,post_reset_path_distance_from_pre_alarm,continuity_retention_vs_lemonade,state_break_distance,state_continuity_score,lane_collapse_rate,path_overlap,unique_path_ratio,clean_path_ratio,path_compromise_rate,mean_compromised_nodes_per_path,mean_node_score_risk_per_path,mean_raw_node_score_per_path,healthy_node_ratio,mean_degradation_risk_per_path,delta,success_continuity_retention,success_node_score_risk_reduced,success_degradation_risk_reduced,success_candidate
1.2.0,local-degradation-aware-lemonade-reselection,run-001,n14,n81,behavioral,0.2,0,100,265,3,36,5,3,12,degradation_aware_delta_0.85,3,0.941237831251088,1.0036481654939229,0.4518229166666667,0.5481770833333333,0.0,0.10543699186991869,1.0,1.0,0.0,0.0,0.13846129360835244,1.0333333333333332,0.46825396825396826,0.3937373952402526,0.85,True,False,True,False
1.2.0,local-degradation-aware-lemonade-reselection,run-001,n14,n81,behavioral,0.2,0,100,265,3,36,5,3,12,degradation_aware_delta_0.80,3,0.9393316728933168,1.0016156161473087,0.5208333333333334,0.47916666666666663,0.0,0.19319319319319317,1.0,1.0,0.0,0.0,0.14502751977984174,1.1606060606060606,0.43434343434343436,0.4282235776824523,0.8,True,False,False,False
1.2.0,local-degradation-aware-lemonade-reselection,run-002,n32,n7,random,0.2,20,100,250,3,36,5,3,12,lemonade_reset,3,0.8864923747276688,1.0,0.48828125,0.51171875,0.0,0.10025062656641603,1.0,0.0,1.0,4.666666666666667,0.2509191176470588,0.7290322580645162,0.41935483870967744,0.42835272379000383,,True,False,False,False
1.2.0,local-degradation-aware-lemonade-reselection,run-002,n32,n7,random,0.2,20,100,250,3,36,5,3,12,node_score_aware_delta_0.90,3,0.9092843975196917,1.0257103427415544,0.51953125,0.48046875,0.0,0.05263157894736842,1.0,0.3333333333333333,0.6666666666666666,4.0,0.23622004357298476,0.719047619047619,0.4126984126984127,0.4255034462676399,0.9,True,True,True,False
1.2.0,local-degradation-aware-lemonade-reselection,run-002,n32,n7,random,0.2,20,100,250,3,36,5,3,12,degradation_aware_delta_0.90,3,0.9193061840120663,1.037015331682326,0.5078125,0.4921875,0.0,0.06539074960127592,1.0,0.0,1.0,2.6666666666666665,0.25625000000000003,0.8245283018867925,0.33962264150943394,0.42694693775883824,0.9,True,False,True,False
1.2.0,local-degradation-aware-lemonade-reselection,run-002,n32,n7,random,0.2,20,100,250,3,36,5,3,12,degradation_aware_delta_0.85,3,0.9338997821350762,1.053477512902433,0.4986979166666667,0.5013020833333333,0.0,0.1738437001594896,1.0,0.0,1.0,5.0,0.23112745098039214,0.7181818181818181,0.42424242424242425,0.4356310718896435,0.85,True,True,False,False
1.2.0,local-degradation-aware-lemonade-reselection,run-002,n32,n7,random,0.2,20,100,250,3,36,5,3,12,degradation_aware_delta_0.80,3,0.9092843975196917,1.0257103427415544,0.5052083333333334,0.49479166666666663,0.0,0.08293460925039872,1.0,0.0,1.0,4.333333333333333,0.2429330065359477,0.6727272727272727,0.42424242424242425,0.42591649815240906,0.8,True,True,True,True
1.2.0,local-degradation-aware-lemonade-reselection,run-002,n32,n7,targeted,0.2,20,100,250,3,36,5,3,12,lemonade_reset,3,0.8864923747276688,1.0,0.48828125,0.51171875,0.0,0.10025062656641603,1.0,0.0,1.0,5.333333333333333,0.2509191176470588,0.7290322580645162,0.41935483870967744,0.42835272379000383,,True,False,False,False
1.2.0,local-degradation-aware-lemonade-reselection,run-002,n32,n7,targeted,0.2,20,100,250,3,36,5,3,12,node_score_aware_delta_0.90,3,0.9092843975196917,1.0257103427415544,0.51953125,0.48046875,0.0,0.05263157894736842,1.0,0.0,1.0,4.666666666666667,0.23622004357298476,0.719047619047619,0.4126984126984127,0.4255034462676399,0.9,True,True,True,False
1.2.0,local-degradation-aware-lemonade-reselection,run-002,n32,n7,targeted,0.2,20,100,250,3,36,5,3,12,degradation_aware_delta_0.90,3,0.9193061840120663,1.037015331682326,0.5078125,0.4921875,0.0,0.06539074960127592,1.0,0.0,1.0,5.333333333333333,0.25625000000000003,0.8245283018867925,0.33962264150943394,0.42694693775883824,0.9,True,False,True,False
1.2.0,local-degradation-aware-lemonade-reselection,run-002,n32,n7,targeted,0.2,20,100,250,3,36,5,3,12,degradation_aware_delta_0.85,3,0.9338997821350762,1.053477512902433,0.4986979166666667,0.5013020833333333,0.0,0.1738437001594896,1.0,0.0,1.0,5.666666666666667,0.23112745098039214,0.7181818181818181,0.42424242424242425,0.4356310718896435,0.85,True,True,False,False
