schema_version,experiment,seed,source,target,compromise_type,compromise_fraction,compromised_node_count,total_node_count,edge_count,route_count,fractal_id,pre_reset_epochs,pre_alarm_path_count,post_candidate_count,policy,path_count,post_reset_path_distance_from_pre_alarm,continuity_retention_vs_lemonade,state_break_distance,state_continuity_score,lane_collapse_rate,path_overlap,unique_path_ratio,clean_path_ratio,path_compromise_rate,mean_compromised_nodes_per_path,mean_node_score_risk_per_path,mean_raw_node_score_per_path,healthy_node_ratio,delta,success_continuity_retention,success_node_score_risk_reduced,success_candidate
1.1.0,node-score-aware-lemonade-reselection,run-002,n32,n7,random,0.2,20,100,250,3,36,5,3,12,node_score_aware_delta_0.50,3,0.871130661453242,0.9379189789340389,0.5026041666666666,0.49739583333333337,0.0,0.10095238095238095,1.0,0.0,1.0,5.333333333333333,0.11642094017094018,0.8636363636363636,0.5194805194805194,0.5,True,True,False
1.1.0,node-score-aware-lemonade-reselection,run-002,n32,n7,targeted,0.2,20,100,250,3,36,5,3,12,lemonade_reset,3,0.9287909521175242,1.0,0.5299479166666666,0.47005208333333337,0.0,0.0,1.0,0.0,1.0,3.3333333333333335,0.2174945533769063,1.0333333333333334,0.3055555555555556,,True,False,False
1.1.0,node-score-aware-lemonade-reselection,run-002,n32,n7,targeted,0.2,20,100,250,3,36,5,3,12,node_score_aware_delta_0.90,3,0.9467084639498432,1.019291221336157,0.4739583333333333,0.5260416666666667,0.0,0.037037037037037035,1.0,0.0,1.0,4.666666666666667,0.1737820512820513,0.9478260869565218,0.43478260869565216,0.9,True,True,False
1.1.0,node-score-aware-lemonade-reselection,run-002,n32,n7,targeted,0.2,20,100,250,3,36,5,3,12,node_score_aware_delta_0.75,3,0.9151919641352344,0.9853583974399344,0.5,0.5,0.0,0.07407407407407407,1.0,0.0,1.0,5.666666666666667,0.13489316239316237,0.9235294117647059,0.49019607843137253,0.75,True,True,False
1.1.0,node-score-aware-lemonade-reselection,run-002,n32,n7,targeted,0.2,20,100,250,3,36,5,3,12,node_score_aware_delta_0.60,3,0.8989084392310199,0.9678264384268861,0.5052083333333334,0.49479166666666663,0.0,0.06547619047619048,1.0,0.0,1.0,6.0,0.12087355455002513,0.9896551724137931,0.5172413793103449,0.6,True,True,False
1.1.0,node-score-aware-lemonade-reselection,run-002,n32,n7,targeted,0.2,20,100,250,3,36,5,3,12,node_score_aware_delta_0.50,3,0.871130661453242,0.9379189789340389,0.5026041666666666,0.49739583333333337,0.0,0.10095238095238095,1.0,0.0,1.0,7.333333333333333,0.11642094017094018,0.8636363636363636,0.5194805194805194,0.5,True,True,False
1.1.0,node-score-aware-lemonade-reselection,run-003,n2,n53,random,0.2,20,100,251,3,36,5,3,12,lemonade_reset,3,0.9552552552552553,1.0,0.5104166666666666,0.48958333333333337,0.0,0.05555555555555555,1.0,0.0,1.0,3.3333333333333335,0.2309041184041184,0.6172413793103447,0.5,,True,False,False
1.1.0,node-score-aware-lemonade-reselection,run-003,n2,n53,random,0.2,20,100,251,3,36,5,3,12,node_score_aware_delta_0.90,3,0.9547511312217195,0.9994722624861131,0.4778645833333333,0.5221354166666667,0.0,0.06666666666666667,1.0,0.3333333333333333,0.6666666666666666,1.3333333333333333,0.17462797619047618,0.7954545454545454,0.5681818181818182,0.9,True,True,True
1.1.0,node-score-aware-lemonade-reselection,run-003,n2,n53,random,0.2,20,100,251,3,36,5,3,12,node_score_aware_delta_0.75,3,0.960190136660725,1.0051660342911706,0.4973958333333333,0.5026041666666667,0.0,0.09999999999999999,1.0,0.3333333333333333,0.6666666666666666,1.3333333333333333,0.16153273809523808,0.7941176470588235,0.6078431372549019,0.75,True,True,False
1.1.0,node-score-aware-lemonade-reselection,run-003,n2,n53,random,0.2,20,100,251,3,36,5,3,12,node_score_aware_delta_0.60,3,0.9363806128512011,0.9802412577159696,0.4934895833333333,0.5065104166666667,0.0,0.13968253968253966,1.0,0.3333333333333333,0.6666666666666666,1.3333333333333333,0.13697916666666668,0.7461538461538461,0.6346153846153846,0.6,True,True,False
1.1.0,node-score-aware-lemonade-reselection,run-003,n2,n53,random,0.2,20,100,251,3,36,5,3,12,node_score_aware_delta_0.50,3,0.9295556060261942,0.9730965633659939,0.4973958333333333,0.5026041666666667,0.0,0.2349206349206349,1.0,0.3333333333333333,0.6666666666666666,2.6666666666666665,0.1281407828282828,0.7631578947368421,0.6666666666666666,0.5,True,True,False
1.1.0,node-score-aware-lemonade-reselection,run-003,n2,n53,targeted,0.2,20,100,251,3,36,5,3,12,lemonade_reset,3,0.9552552552552553,1.0,0.5104166666666666,0.48958333333333337,0.0,0.05555555555555555,1.0,0.0,1.0,6.333333333333333,0.2309041184041184,0.6172413793103447,0.5,,True,False,False
1.1.0,node-score-aware-lemonade-reselection,run-003,n2,n53,targeted,0.2,20,100,251,3,36,5,3,12,node_score_aware_delta_0.90,3,0.9547511312217195,0.9994722624861131,0.4778645833333333,0.5221354166666667,0.0,0.06666666666666667,1.0,0.0,1.0,3.6666666666666665,0.17462797619047618,0.7954545454545454,0.5681818181818182,0.9,True,True,True
1.1.0,node-score-aware-lemonade-reselection,run-003,n2,n53,targeted,0.2,20,100,251,3,36,5,3,12,node_score_aware_delta_0.75,3,0.960190136660725,1.0051660342911706,0.4973958333333333,0.5026041666666667,0.0,0.09999999999999999,1.0,0.0,1.0,5.0,0.16153273809523808,0.7941176470588235,0.6078431372549019,0.75,True,True,False
1.1.0,node-score-aware-lemonade-reselection,run-003,n2,n53,targeted,0.2,20,100,251,3,36,5,3,12,node_score_aware_delta_0.60,3,0.9363806128512011,0.9802412577159696,0.4934895833333333,0.5065104166666667,0.0,0.13968253968253966,1.0,0.0,1.0,5.666666666666667,0.13697916666666668,0.7461538461538461,0.6346153846153846,0.6,True,True,False
1.1.0,node-score-aware-lemonade-reselection,run-003,n2,n53,targeted,0.2,20,100,251,3,36,5,3,12,node_score_aware_delta_0.50,3,0.9295556060261942,0.9730965633659939,0.4973958333333333,0.5026041666666667,0.0,0.2349206349206349,1.0,0.0,1.0,6.0,0.1281407828282828,0.7631578947368421,0.6666666666666666,0.5,True,True,False
