schema_version,seed,source,target,compromise_type,compromise_fraction,compromised_node_count,total_node_count,edge_count,route_count,fractal_id,anomaly_detected,memory_rewrite,purge_triggered,reset_epoch_pre,reset_epoch_post,pre_alarm_path_count,post_candidate_count,random_multipath_reset:post_reset_path_distance_from_pre_alarm,random_multipath_reset:state_break_distance,random_multipath_reset:state_continuity_score,random_multipath_reset:lane_collapse_rate,random_multipath_reset:path_overlap,random_multipath_reset:unique_path_ratio,random_multipath_reset:clean_path_ratio,random_multipath_reset:path_compromise_rate,random_multipath_reset:mean_compromised_nodes_per_path,state_aware_reset:post_reset_path_distance_from_pre_alarm,state_aware_reset:state_break_distance,state_aware_reset:state_continuity_score,state_aware_reset:lane_collapse_rate,state_aware_reset:path_overlap,state_aware_reset:unique_path_ratio,state_aware_reset:clean_path_ratio,state_aware_reset:path_compromise_rate,state_aware_reset:mean_compromised_nodes_per_path,lemonade_reset:post_reset_path_distance_from_pre_alarm,lemonade_reset:state_break_distance,lemonade_reset:state_continuity_score,lemonade_reset:lane_collapse_rate,lemonade_reset:path_overlap,lemonade_reset:unique_path_ratio,lemonade_reset:clean_path_ratio,lemonade_reset:path_compromise_rate,lemonade_reset:mean_compromised_nodes_per_path,delta_lemonade_vs_state_aware:path_break,delta_lemonade_vs_random:path_break
1.0.0,pilot-005,n94,n10,random,0.2,20,100,230,3,36,True,True,True,0,1,3,12,0.8894965948648844,0.4908854166666667,0.5091145833333333,0.0,0.12424242424242422,1.0,0.3333333333333333,0.6666666666666666,5.666666666666667,0.6128945960406634,0.5026041666666666,0.49739583333333337,0.0,0.14814814814814814,1.0,0.0,1.0,4.333333333333333,0.8986088817549492,0.484375,0.515625,0.0,0.14814814814814814,1.0,0.3333333333333333,0.6666666666666666,4.0,0.2857142857142858,0.009112286890064825
1.0.0,pilot-005,n94,n10,targeted,0.2,20,100,230,3,36,True,True,True,0,1,3,12,0.8894965948648844,0.4908854166666667,0.5091145833333333,0.0,0.12424242424242422,1.0,0.0,1.0,7.0,0.6128945960406634,0.5026041666666666,0.49739583333333337,0.0,0.14814814814814814,1.0,0.3333333333333333,0.6666666666666666,4.333333333333333,0.8986088817549492,0.484375,0.515625,0.0,0.14814814814814814,1.0,0.0,1.0,6.0,0.2857142857142858,0.009112286890064825
1.0.0,pilot-006,n92,n41,random,0.2,20,100,237,3,36,True,True,True,0,1,3,12,0.9122588810334293,0.5143229166666666,0.48567708333333337,0.0,0.2636165577342048,1.0,0.0,1.0,4.333333333333333,0.5941719971570718,0.5078125,0.4921875,0.0,0.16666666666666666,1.0,0.0,1.0,3.0,0.9269733534439416,0.4817708333333333,0.5182291666666667,0.0,0.09523809523809523,1.0,0.0,1.0,2.0,0.3328013562868698,0.01471447241051227
1.0.0,pilot-006,n92,n41,targeted,0.2,20,100,237,3,36,True,True,True,0,1,3,12,0.9122588810334293,0.5143229166666666,0.48567708333333337,0.0,0.2636165577342048,1.0,0.0,1.0,5.0,0.5941719971570718,0.5078125,0.4921875,0.0,0.16666666666666666,1.0,0.0,1.0,4.333333333333333,0.9269733534439416,0.4817708333333333,0.5182291666666667,0.0,0.09523809523809523,1.0,0.0,1.0,3.6666666666666665,0.3328013562868698,0.01471447241051227
1.0.0,pilot-007,n83,n46,random,0.2,20,100,273,3,36,True,True,True,0,1,3,12,0.6274509803921569,0.4973958333333333,0.5026041666666667,0.0,0.0,1.0,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.5976761074800291,0.5,0.5,0.0,0.0,1.0,0.3333333333333333,0.6666666666666666,1.6666666666666667,0.9470588235294118,0.4908854166666667,0.5091145833333333,0.0,0.047619047619047616,1.0,0.3333333333333333,0.6666666666666666,1.6666666666666667,0.34938271604938276,0.319607843137255
1.0.0,pilot-007,n83,n46,targeted,0.2,20,100,273,3,36,True,True,True,0,1,3,12,0.6274509803921569,0.4973958333333333,0.5026041666666667,0.0,0.0,1.0,0.0,1.0,2.3333333333333335,0.5976761074800291,0.5,0.5,0.0,0.0,1.0,0.0,1.0,3.6666666666666665,0.9470588235294118,0.4908854166666667,0.5091145833333333,0.0,0.047619047619047616,1.0,0.0,1.0,3.0,0.34938271604938276,0.319607843137255
1.0.0,pilot-008,n79,n63,random,0.2,20,100,275,3,36,True,True,True,0,1,3,12,0.881422045562411,0.4713541666666667,0.5286458333333333,0.0,0.12222222222222223,1.0,0.0,1.0,5.0,0.5872911889944317,0.53125,0.46875,0.0,0.08333333333333333,1.0,0.0,1.0,4.333333333333333,0.9258663089649005,0.5,0.5,0.0,0.13596491228070176,1.0,0.0,1.0,4.0,0.33857511997046885,0.044444263402489526
1.0.0,pilot-008,n79,n63,targeted,0.2,20,100,275,3,36,True,True,True,0,1,3,12,0.881422045562411,0.4713541666666667,0.5286458333333333,0.0,0.12222222222222223,1.0,0.0,1.0,8.333333333333334,0.5872911889944317,0.53125,0.46875,0.0,0.08333333333333333,1.0,0.3333333333333333,0.6666666666666666,8.333333333333334,0.9258663089649005,0.5,0.5,0.0,0.13596491228070176,1.0,0.0,1.0,8.0,0.33857511997046885,0.044444263402489526
1.0.0,pilot-009,n28,n53,random,0.2,20,100,229,3,36,True,True,True,0,1,3,12,0.9145124716553288,0.4817708333333333,0.5182291666666667,0.0,0.12962962962962962,1.0,0.3333333333333333,0.6666666666666666,2.6666666666666665,0.6051587301587301,0.5325520833333334,0.46744791666666663,0.0,0.16666666666666666,1.0,0.6666666666666666,0.3333333333333333,2.6666666666666665,0.9293093508589877,0.5065104166666666,0.49348958333333337,0.0,0.11216931216931215,1.0,0.0,1.0,5.333333333333333,0.3241506207002576,0.014796879203658908
1.0.0,pilot-009,n28,n53,targeted,0.2,20,100,229,3,36,True,True,True,0,1,3,12,0.9145124716553288,0.4817708333333333,0.5182291666666667,0.0,0.12962962962962962,1.0,0.0,1.0,5.666666666666667,0.6051587301587301,0.5325520833333334,0.46744791666666663,0.0,0.16666666666666666,1.0,0.0,1.0,7.333333333333333,0.9293093508589877,0.5065104166666666,0.49348958333333337,0.0,0.11216931216931215,1.0,0.0,1.0,9.333333333333334,0.3241506207002576,0.014796879203658908
