schema_version,experiment,seed,condition,compromise_fraction,node_count,known_logical_edge_count,compromised_node_count,hop_budget,policy,magnet_strength,source_relay,hop_count,path_len,transport_attempts,transport_failures,transport_success,loop_detected,compromised_relays,clean_path,path_compromise_rate,voxmesh_knows_reticulum_identity,reticulum_knows_whisper_payload,reticulum_graph_visible
1.3.0,sol-link-magnetic-logical-routing,pilot-001,behavioral,0.2,100,482,0,12,sol_link_magnetic_hop_by_hop,2.0,n29,1,2,2,1,False,False,0,True,0.0,False,False,False
1.3.0,sol-link-magnetic-logical-routing,pilot-001,behavioral,0.2,100,482,0,12,sol_link_magnetic_hop_by_hop,4.0,n29,2,3,3,1,False,False,0,True,0.0,False,False,False
1.3.0,sol-link-magnetic-logical-routing,pilot-001,behavioral,0.2,100,482,0,12,sol_link_magnetic_hop_by_hop,8.0,n29,10,11,11,1,False,False,0,True,0.0,False,False,False
1.3.0,sol-link-magnetic-logical-routing,pilot-002,random,0.2,100,492,20,12,sol_link_magnetic_hop_by_hop,0.0,n50,3,4,4,1,False,False,1,False,0.25,False,False,False
1.3.0,sol-link-magnetic-logical-routing,pilot-002,random,0.2,100,492,20,12,sol_link_magnetic_hop_by_hop,1.0,n50,2,3,3,1,False,False,0,True,0.0,False,False,False
1.3.0,sol-link-magnetic-logical-routing,pilot-002,random,0.2,100,492,20,12,sol_link_magnetic_hop_by_hop,2.0,n50,12,13,12,0,True,False,2,False,0.15384615384615385,False,False,False
1.3.0,sol-link-magnetic-logical-routing,pilot-002,random,0.2,100,492,20,12,sol_link_magnetic_hop_by_hop,4.0,n50,0,1,1,1,False,False,0,True,0.0,False,False,False
1.3.0,sol-link-magnetic-logical-routing,pilot-002,random,0.2,100,492,20,12,sol_link_magnetic_hop_by_hop,8.0,n50,12,13,12,0,True,False,0,True,0.0,False,False,False
1.3.0,sol-link-magnetic-logical-routing,pilot-002,targeted,0.2,100,492,20,12,sol_link_magnetic_hop_by_hop,0.0,n50,3,4,4,1,False,False,0,True,0.0,False,False,False
1.3.0,sol-link-magnetic-logical-routing,pilot-002,targeted,0.2,100,492,20,12,sol_link_magnetic_hop_by_hop,1.0,n50,2,3,3,1,False,False,0,True,0.0,False,False,False
1.3.0,sol-link-magnetic-logical-routing,pilot-002,targeted,0.2,100,492,20,12,sol_link_magnetic_hop_by_hop,2.0,n50,12,13,12,0,True,False,6,False,0.46153846153846156,False,False,False
1.3.0,sol-link-magnetic-logical-routing,pilot-002,targeted,0.2,100,492,20,12,sol_link_magnetic_hop_by_hop,4.0,n50,0,1,1,1,False,False,0,True,0.0,False,False,False
1.3.0,sol-link-magnetic-logical-routing,pilot-002,targeted,0.2,100,492,20,12,sol_link_magnetic_hop_by_hop,8.0,n50,12,13,12,0,True,False,4,False,0.3076923076923077,False,False,False
1.3.0,sol-link-magnetic-logical-routing,pilot-002,behavioral,0.2,100,492,0,12,sol_link_magnetic_hop_by_hop,0.0,n50,3,4,4,1,False,False,0,True,0.0,False,False,False
1.3.0,sol-link-magnetic-logical-routing,pilot-002,behavioral,0.2,100,492,0,12,sol_link_magnetic_hop_by_hop,1.0,n50,4,5,5,1,False,False,0,True,0.0,False,False,False
1.3.0,sol-link-magnetic-logical-routing,pilot-002,behavioral,0.2,100,492,0,12,sol_link_magnetic_hop_by_hop,2.0,n50,11,12,12,1,False,False,0,True,0.0,False,False,False
1.3.0,sol-link-magnetic-logical-routing,pilot-002,behavioral,0.2,100,492,0,12,sol_link_magnetic_hop_by_hop,4.0,n50,5,6,6,1,False,False,0,True,0.0,False,False,False
1.3.0,sol-link-magnetic-logical-routing,pilot-002,behavioral,0.2,100,492,0,12,sol_link_magnetic_hop_by_hop,8.0,n50,2,3,3,1,False,False,0,True,0.0,False,False,False
1.3.0,sol-link-magnetic-logical-routing,pilot-003,random,0.2,100,580,20,12,sol_link_magnetic_hop_by_hop,0.0,n31,12,13,12,0,True,False,2,False,0.15384615384615385,False,False,False
1.3.0,sol-link-magnetic-logical-routing,pilot-003,random,0.2,100,580,20,12,sol_link_magnetic_hop_by_hop,1.0,n31,6,7,7,1,False,False,1,False,0.14285714285714285,False,False,False
1.3.0,sol-link-magnetic-logical-routing,pilot-003,random,0.2,100,580,20,12,sol_link_magnetic_hop_by_hop,2.0,n31,1,2,2,1,False,False,0,True,0.0,False,False,False
1.3.0,sol-link-magnetic-logical-routing,pilot-003,random,0.2,100,580,20,12,sol_link_magnetic_hop_by_hop,4.0,n31,10,11,11,1,False,False,2,False,0.18181818181818182,False,False,False
1.3.0,sol-link-magnetic-logical-routing,pilot-003,random,0.2,100,580,20,12,sol_link_magnetic_hop_by_hop,8.0,n31,3,4,4,1,False,False,1,False,0.25,False,False,False
1.3.0,sol-link-magnetic-logical-routing,pilot-003,targeted,0.2,100,580,20,12,sol_link_magnetic_hop_by_hop,0.0,n31,12,13,12,0,True,False,3,False,0.23076923076923078,False,False,False
1.3.0,sol-link-magnetic-logical-routing,pilot-003,targeted,0.2,100,580,20,12,sol_link_magnetic_hop_by_hop,1.0,n31,6,7,7,1,False,False,0,True,0.0,False,False,False
1.3.0,sol-link-magnetic-logical-routing,pilot-003,targeted,0.2,100,580,20,12,sol_link_magnetic_hop_by_hop,2.0,n31,1,2,2,1,False,False,0,True,0.0,False,False,False
1.3.0,sol-link-magnetic-logical-routing,pilot-003,targeted,0.2,100,580,20,12,sol_link_magnetic_hop_by_hop,4.0,n31,10,11,11,1,False,False,3,False,0.2727272727272727,False,False,False
1.3.0,sol-link-magnetic-logical-routing,pilot-003,targeted,0.2,100,580,20,12,sol_link_magnetic_hop_by_hop,8.0,n31,3,4,4,1,False,False,0,True,0.0,False,False,False
1.3.0,sol-link-magnetic-logical-routing,pilot-003,behavioral,0.2,100,580,0,12,sol_link_magnetic_hop_by_hop,0.0,n31,2,3,3,1,False,False,0,True,0.0,False,False,False
1.3.0,sol-link-magnetic-logical-routing,pilot-003,behavioral,0.2,100,580,0,12,sol_link_magnetic_hop_by_hop,1.0,n31,3,4,4,1,False,False,0,True,0.0,False,False,False
1.3.0,sol-link-magnetic-logical-routing,pilot-003,behavioral,0.2,100,580,0,12,sol_link_magnetic_hop_by_hop,2.0,n31,1,2,2,1,False,False,0,True,0.0,False,False,False
1.3.0,sol-link-magnetic-logical-routing,pilot-003,behavioral,0.2,100,580,0,12,sol_link_magnetic_hop_by_hop,4.0,n31,2,3,3,1,False,False,0,True,0.0,False,False,False
1.3.0,sol-link-magnetic-logical-routing,pilot-003,behavioral,0.2,100,580,0,12,sol_link_magnetic_hop_by_hop,8.0,n31,8,9,9,1,False,False,0,True,0.0,False,False,False
1.3.0,sol-link-magnetic-logical-routing,pilot-004,random,0.2,100,496,20,12,sol_link_magnetic_hop_by_hop,0.0,n32,1,2,2,1,False,False,1,False,0.5,False,False,False
