schema_version,experiment,seed,source,target,condition_type,compromise_fraction,compromised_node_count,total_node_count,edge_count,route_count,fractal_id,pre_reset_epochs,pre_alarm_path_count,post_candidate_count,policy,path_count,post_reset_path_distance_from_pre_alarm,continuity_retention_vs_lemonade,state_break_distance,state_continuity_score,lane_collapse_rate,path_overlap,unique_path_ratio,clean_path_ratio,path_compromise_rate,mean_compromised_nodes_per_path,mean_node_score_risk_per_path,mean_raw_node_score_per_path,healthy_node_ratio,mean_degradation_risk_per_path,delta,success_continuity_retention,success_node_score_risk_reduced,success_degradation_risk_reduced,success_candidate
1.2.0,local-degradation-aware-lemonade-reselection,pilot-001,n89,n84,random,0.2,20,100,241,3,36,5,3,12,node_score_aware_delta_0.90,3,0.9895833333333334,1.008254716981132,0.5013020833333334,0.49869791666666663,0.0,0.06060606060606061,1.0,0.3333333333333333,0.6666666666666666,1.0,0.1461309523809524,0.8894736842105262,0.5263157894736842,0.36409805163385656,0.9,True,False,True,False
1.2.0,local-degradation-aware-lemonade-reselection,pilot-001,n89,n84,random,0.2,20,100,241,3,36,5,3,12,degradation_aware_delta_0.90,3,0.9895833333333334,1.008254716981132,0.5078125,0.4921875,0.0,0.06060606060606061,1.0,0.3333333333333333,0.6666666666666666,1.0,0.1461309523809524,0.8894736842105262,0.5263157894736842,0.36409805163385656,0.9,True,False,True,False
1.2.0,local-degradation-aware-lemonade-reselection,pilot-001,n89,n84,random,0.2,20,100,241,3,36,5,3,12,degradation_aware_delta_0.85,3,0.9814814814814815,1.0,0.4700520833333333,0.5299479166666667,0.0,0.030303030303030304,1.0,0.0,1.0,2.0,0.1457236842105263,0.9093023255813953,0.5348837209302325,0.3681173206033581,0.85,True,False,False,False
1.2.0,local-degradation-aware-lemonade-reselection,pilot-001,n89,n84,random,0.2,20,100,241,3,36,5,3,12,degradation_aware_delta_0.80,3,0.9895833333333334,1.008254716981132,0.50390625,0.49609375,0.0,0.09523809523809523,1.0,0.3333333333333333,0.6666666666666666,1.0,0.1548115079365079,0.9647058823529411,0.5,0.39095311980423086,0.8,True,False,False,False
1.2.0,local-degradation-aware-lemonade-reselection,pilot-001,n89,n84,targeted,0.2,20,100,241,3,36,5,3,12,lemonade_reset,3,0.9814814814814815,1.0,0.49609375,0.50390625,0.0,0.030303030303030304,1.0,0.0,1.0,4.666666666666667,0.1457236842105263,0.9093023255813953,0.5348837209302325,0.3681173206033581,,True,False,False,False
1.2.0,local-degradation-aware-lemonade-reselection,pilot-001,n89,n84,targeted,0.2,20,100,241,3,36,5,3,12,node_score_aware_delta_0.90,3,0.9895833333333334,1.008254716981132,0.5013020833333334,0.49869791666666663,0.0,0.06060606060606061,1.0,0.0,1.0,4.666666666666667,0.1461309523809524,0.8894736842105262,0.5263157894736842,0.36409805163385656,0.9,True,False,True,False
1.2.0,local-degradation-aware-lemonade-reselection,pilot-001,n89,n84,targeted,0.2,20,100,241,3,36,5,3,12,degradation_aware_delta_0.90,3,0.9895833333333334,1.008254716981132,0.5078125,0.4921875,0.0,0.06060606060606061,1.0,0.0,1.0,4.666666666666667,0.1461309523809524,0.8894736842105262,0.5263157894736842,0.36409805163385656,0.9,True,False,True,False
1.2.0,local-degradation-aware-lemonade-reselection,pilot-001,n89,n84,targeted,0.2,20,100,241,3,36,5,3,12,degradation_aware_delta_0.85,3,0.9814814814814815,1.0,0.4700520833333333,0.5299479166666667,0.0,0.030303030303030304,1.0,0.0,1.0,4.666666666666667,0.1457236842105263,0.9093023255813953,0.5348837209302325,0.3681173206033581,0.85,True,False,False,False
1.2.0,local-degradation-aware-lemonade-reselection,pilot-001,n89,n84,targeted,0.2,20,100,241,3,36,5,3,12,degradation_aware_delta_0.80,3,0.9895833333333334,1.008254716981132,0.50390625,0.49609375,0.0,0.09523809523809523,1.0,0.0,1.0,4.333333333333333,0.1548115079365079,0.9647058823529411,0.5,0.39095311980423086,0.8,True,False,False,False
1.2.0,local-degradation-aware-lemonade-reselection,pilot-001,n89,n84,behavioral,0.2,0,100,241,3,36,5,3,12,lemonade_reset,3,0.9814814814814815,1.0,0.49609375,0.50390625,0.0,0.030303030303030304,1.0,1.0,0.0,0.0,0.1457236842105263,0.9093023255813953,0.5348837209302325,0.3681173206033581,,True,False,False,False
