schema_version,experiment,seed,condition,compromise_fraction,node_count,known_logical_edge_count,compromised_node_count,source_relay,hop_budget,policy,transport_attempts,successful_transport_attempts,transport_failures,transport_delivery_ratio,transport_success,loop_detected,dead_end,relay_reuse_count,mean_candidate_count,hop_count,path_len,compromised_relays,clean_path,path_compromise_rate,reticulum_graph_visible,voxmesh_knows_reticulum_identity,reticulum_knows_whisper_payload,magnet_strength,wandering_strength
1.3.1,sol-link-pressure-field-comparison,run-003,random,0.2,100,502,20,n27,12,v1.3.1_pressure_field,2,1,1,0.5,False,False,False,0,5.5,1,2,1,False,0.5,False,False,False,6.0,2.0
1.3.1,sol-link-pressure-field-comparison,run-003,random,0.2,100,502,20,n27,12,v1.3.0_magnet_raw,4,3,1,0.75,False,False,False,0,,3,4,1,False,0.25,False,False,False,8.0,
1.3.1,sol-link-pressure-field-comparison,run-003,random,0.2,100,502,20,n27,12,v1.3.1_pressure_field,1,0,1,0.0,False,False,False,0,5.0,0,1,0,True,0.0,False,False,False,8.0,0.5
1.3.1,sol-link-pressure-field-comparison,run-003,random,0.2,100,502,20,n27,12,v1.3.1_pressure_field,7,6,1,0.8571428571428571,False,False,False,0,6.571428571428571,6,7,2,False,0.2857142857142857,False,False,False,8.0,1.0
1.3.1,sol-link-pressure-field-comparison,run-003,random,0.2,100,502,20,n27,12,v1.3.1_pressure_field,5,4,1,0.8,False,False,False,0,5.6,4,5,0,True,0.0,False,False,False,8.0,2.0
1.3.1,sol-link-pressure-field-comparison,run-003,targeted,0.2,100,502,20,n27,12,v1.3.0_magnet_raw,3,2,1,0.6666666666666666,False,False,False,0,,2,3,1,False,0.3333333333333333,False,False,False,4.0,
1.3.1,sol-link-pressure-field-comparison,run-003,targeted,0.2,100,502,20,n27,12,v1.3.1_pressure_field,1,0,1,0.0,False,False,False,0,5.0,0,1,0,True,0.0,False,False,False,4.0,0.5
1.3.1,sol-link-pressure-field-comparison,run-003,targeted,0.2,100,502,20,n27,12,v1.3.1_pressure_field,7,6,1,0.8571428571428571,False,False,False,0,7.571428571428571,6,7,5,False,0.7142857142857143,False,False,False,4.0,1.0
1.3.1,sol-link-pressure-field-comparison,run-003,targeted,0.2,100,502,20,n27,12,v1.3.1_pressure_field,2,1,1,0.5,False,False,False,0,5.5,1,2,0,True,0.0,False,False,False,4.0,2.0
1.3.1,sol-link-pressure-field-comparison,run-003,targeted,0.2,100,502,20,n27,12,v1.3.0_magnet_raw,12,12,0,1.0,True,True,False,1,,12,13,5,False,0.38461538461538464,False,False,False,6.0,
1.3.1,sol-link-pressure-field-comparison,run-003,targeted,0.2,100,502,20,n27,12,v1.3.1_pressure_field,12,12,0,1.0,True,False,False,0,6.75,12,13,6,False,0.46153846153846156,False,False,False,6.0,0.5
1.3.1,sol-link-pressure-field-comparison,run-003,targeted,0.2,100,502,20,n27,12,v1.3.1_pressure_field,4,3,1,0.75,False,False,False,0,6.25,3,4,1,False,0.25,False,False,False,6.0,1.0
1.3.1,sol-link-pressure-field-comparison,run-003,targeted,0.2,100,502,20,n27,12,v1.3.1_pressure_field,2,1,1,0.5,False,False,False,0,5.5,1,2,0,True,0.0,False,False,False,6.0,2.0
1.3.1,sol-link-pressure-field-comparison,run-003,targeted,0.2,100,502,20,n27,12,v1.3.0_magnet_raw,4,3,1,0.75,False,False,False,0,,3,4,2,False,0.5,False,False,False,8.0,
1.3.1,sol-link-pressure-field-comparison,run-003,targeted,0.2,100,502,20,n27,12,v1.3.1_pressure_field,1,0,1,0.0,False,False,False,0,5.0,0,1,0,True,0.0,False,False,False,8.0,0.5
1.3.1,sol-link-pressure-field-comparison,run-003,targeted,0.2,100,502,20,n27,12,v1.3.1_pressure_field,7,6,1,0.8571428571428571,False,False,False,0,6.571428571428571,6,7,4,False,0.5714285714285714,False,False,False,8.0,1.0
1.3.1,sol-link-pressure-field-comparison,run-003,targeted,0.2,100,502,20,n27,12,v1.3.1_pressure_field,5,4,1,0.8,False,False,False,0,5.6,4,5,0,True,0.0,False,False,False,8.0,2.0
